id,latitude_verbatim,longitude_verbatim,latitude,longitude,user_id,gid_0,country,gid_1,state,gid_2,county,country_cent_dist,country_cent_dist_relative,country_cent_type,country_cent_dist_max,is_country_centroid,state_cent_dist,state_cent_dist_relative,state_cent_type,state_cent_dist_max,is_state_centroid,county_cent_dist,county_cent_dist_relative,county_cent_type,county_cent_dist_max,is_county_centroid,centroid_dist_km,centroid_dist_relative,centroid_type,centroid_dist_max_km,centroid_poldiv,max_dist,max_dist_rel,latlong_err,coordinate_decimal_places,coordinate_inherent_uncertainty_m
3402,-32.03175202954584,151.401133,-32.03175202954584,151.401133,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.131_1,Upper Hunter,1451.39697347863,0.476514818713882,bb,3045.8590509230419126,,154.59280160255,0.159281204967126,bb,970.5652442449588565,,64.11505895107,0.719567860634539,std,89.1021715374158001,,,,,,,10,0.001,,6,0.09446057
3407,-33.573145031841534,151.17226299999996,-33.573145031841534,151.17226299999996,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.66_1,Hornsby,1426.55387136247,0.471541284102469,bb,3025.3000520999355996,,132.80956906348,0.136469048529263,bb,973.1845462013439672,,5.92896250515,0.268277986492879,bb_main,22.1000708356940595,,,,,,,10,0.001,,14,0
3408,-32.91508403088086,151.751136,-32.91508403088086,151.751136,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.100_1,Newcastle,1479.64072902013,0.487951657602785,bb,3032.3510658603507166,,159.06818595248,0.172783711193849,bb,920.6202648004167609,,5.60918133711,0.4530757921608,bb,12.3802274015983168,,,,,,,10,0.001,,6,0.09354264
3409,-32.781785030682585,146.684547,-32.781785030682585,146.684547,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.77_1,Lachlan,1005.34005622467,0.331048789156591,bb,3036.8335096043175796,,22.41391827824,0.018649735655686,pos_main,1201.8357092051523077,,18.00524210932,0.17133165963323,bb,105.0899883177683273,,,,,,,10,0.001,,6,0.09368258
3410,-33.61510003190171,150.267834,-33.61510003190171,150.267834,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.15_1,Blue Mountains,1342.91490736394,0.443797959085728,bb,3025.9600790650109645,,89.20685125818,0.0826462564133838,bb,1079.3816335973055894,,13.59340647809,0.427977156654074,bb,31.7619907201666336,,,,,,,10,0.001,,6,0.09279938
3411,53.00211,-2.22497,53.00211,-2.22497,,GBR,United Kingdom,GBR.1_1,England,GBR.1.95_1,Stoke-on-Trent,106.67592833152,0.0840695250734137,std_main,1268.9012842449777347,,19.84563933837,0.0388572337659623,bb,510.7321704344828684,,4.39043761859,0.600291646543348,std,7.3138409369369088,,,,,,,10,0.001,,5,1.29967724
3412,-17.2833,145.4333,-17.2833,145.4333,,AUS,Australia,AUS.7_1,Queensland,AUS.7.63_1,Tablelands,1468.35900287851,0.363094378366203,std,4044.0146980121506743,,210.8263767721,0.160305943113271,bb,1315.1500978546480542,,132.44828891829,0.609813104505266,std,217.1948879743141888,,,,,,,10,0.001,,4,15.34707575
3413,52.10318,-2.19121,52.10318,-2.19121,,GBR,United Kingdom,GBR.1_1,England,GBR.1.117_1,Worcestershire,206.06180381495,0.159179510613846,std_main,1294.5246723043135891,,73.52157565062,0.155207227199079,std,473.6994338305934067,,10.48337348916,0.212167453856722,pos,49.4108464733685651,,,,,,,10,0.001,,5,1.30674597
3414,-33.34842003151697,151.501145,-33.34842003151697,151.501145,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.151_1,Wyong,1456.38692011182,0.48108581373605,bb,3027.2913449717175624,,146.75146769981,0.156272394789397,bb,939.0747988317576489,,16.05818719051,0.665981746467704,bb,24.1120530340071758,,,,,,,10,0.001,,6,0.09308417
3415,-36.03178403511534,148.534562,-36.03178403511534,148.534562,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.127_1,Tumbarumba,1232.74355070231,0.406125143284588,bb,3035.3785553200228426,,372.21078729267,0.288664493718389,bb_main,1289.4235189721180139,,31.40042473588,0.452318448266782,pos,69.4210569040502889,,,,,,,10,0.001,,6,0.09012749
3416,1.15,-77.983333,1.15,-77.983333,,COL,Colombia,COL.21_1,Nariño,COL.21.46_1,Ricaurte,623.80375880322,0.40981993271471,std,1522.1410893097570034,,41.26794560878,0.265438222850493,bb_main,155.4709987341348447,,25.87689587684,0.589502820951204,std_main,43.8961357896232287,,,,,,,10,0.001,,2,1105.7472753
3417,52.37297,-2.13362,52.37297,-2.13362,,GBR,United Kingdom,GBR.1_1,England,GBR.1.117_1,Worcestershire,176.76452217684,0.137739997702357,std_main,1283.3202056443421465,,51.64623105821,0.124966960362684,std,413.2790851943608796,,17.32608246686,0.34159558223883,std,50.7210378814158508,,,,,,,10,0.001,,5,1.30462242
3418,-34.99580003380229,150.7045,-34.99580003380229,150.7045,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.117_1,Shoalhaven,1399.10455003736,0.463509847083735,bb,3018.5001652933726965,,247.52816082821,0.229883072858587,bb,1076.7567953142744385,,31.12057307509,0.567316021911726,bb_main,54.8557979558214217,,,,,,,10,0.001,,4,9.12928339
3419,52.73243,-1.7793,52.73243,-1.7793,,GBR,United Kingdom,GBR.1_1,England,GBR.1.92_1,Staffordshire,143.64427251904,0.120975961903366,std_main,1187.3786350529797566,,21.13041744035,0.0459500109096534,bb_main,459.8566359841890690,,17.99806824771,0.515242037329242,pos,34.9312884891982381,,,,,,,10,0.001,,4,6.84619937
3420,19.7635373826221,-88.0853305424965,19.7635373826221,-88.0853305424965,,MEX,Mexico,MEX.23_1,Quintana Roo,MEX.23.4_1,Felipe Carrillo Puerto,1526.94215286993,0.842533788213373,pos,1812.3215641094615791,,3.85490336429,0.0162067019966907,bb,237.8585948626158146,,4.26977157849,0.0462866707408729,bb,92.2462451964519549,,,,,,,10,0.001,,13,0.00000001
3421,51.32152,-0.47521,51.32152,-0.47521,,GBR,United Kingdom,GBR.1_1,England,GBR.1.98_1,Surrey,323.04936784977,0.283152451948347,std_main,1140.9025972648156402,,156.56961738353,0.284333046984073,std,550.6557153460262168,,8.51124261095,0.2177305473196,bb,39.0907142600280507,,,,,,,10,0.001,,5,1.3129062
3422,10.63041,104.01739,10.63041,104.01739,,KHM,Cambodia,KHM.7_1,Kâmpôt,KHM.7.8_1,Kampot,212.70381164732,0.549966675595016,bb,386.7576365735124189,,36.78648611871,0.691819588645882,std,53.1735248935538631,,16.18827447978,0.478861866190215,std,33.8057290060963912,,,,,,,10,0.001,,5,1.55589467
3423,4.828533,-74.014989,4.828533,-74.014989,,COL,Colombia,COL.14_1,Cundinamarca,COL.14.17_1,Chía,118.27513712023,0.0938271044351865,bb,1260.5647145589109715,,10.33798868134,0.0760945665006978,bb,135.8571203798788827,,5.13674784681,0.717954619324538,std,7.1546971194958339,,,,,,,10,0.001,,6,0.15663085
3424,60.665376,5.753213,60.665376,5.753213,,NOR,Norway,NOR.7_1,Hordaland,NOR.7.33_1,Vaksdal,558.54905566656,0.407293385271173,pos_main,1371.3678538989334800,,45.26328723985,0.212919450175518,bb,212.5840885017205612,,2.97503895285,0.0995370526429433,pos,29.8887587471771097,,,,,,,10,0.001,,6,0.12411541
3425,60.610695,5.833664,60.610695,5.833664,,NOR,Norway,NOR.7_1,Hordaland,NOR.7.33_1,Vaksdal,560.90421408131,0.405093176520798,pos,1384.6301211457519150,,39.09069289062,0.182936915263472,bb,213.6840059553876678,,6.83443016795,0.121972975899626,pos_main,56.0323310761409085,,,,,,,10,0.001,,6,0.12415544
3426,48.21728,16.38214,48.21728,16.38214,,AUT,Austria,AUT.9_1,Wien,AUT.9.1_1,Wien,134.57500351541,0.325921272808015,pos,412.9064738731609255,,0.67109519242,0.0293001802915116,std_main,22.9041318429845782,,0.67109519242,0.0293001802915116,std_main,22.9041318429845782,,,,,,,10,0.001,,5,1.33740118
3427,5.847994,-73.121433,5.847994,-73.121433,,COL,Colombia,COL.6_1,Boyacá,COL.6.31_1,Duitama,136.71546407141,0.108323810986322,bb,1262.0998359139432563,,9.78268711672,0.0523002875987197,std_main,187.0484382758820262,,3.12238369754,0.177532528609783,bb_main,17.5876709580530349,,,,,,,10,0.001,,6,0.15650384
3428,5.849778,-73.129528,5.849778,-73.129528,,COL,Colombia,COL.6_1,Boyacá,COL.6.31_1,Duitama,135.81988504709,0.107614389242237,bb,1262.0978105573150879,,10.01688441765,0.0535517605680483,std,187.0505154526438101,,3.93189978285,0.22353966150652,bb_main,17.5892714355538109,,,,,,,10,0.001,,6,0.1565036
3429,5.8525,-73.140917,5.8525,-73.140917,,COL,Colombia,COL.6_1,Boyacá,COL.6.64_1,Paipa,134.56057303778,0.106616859043663,bb,1262.0947028900294182,,10.49748394918,0.0561182930861086,std,187.0599295148291726,,6.8105651176,0.340449968195609,std_main,20.0045990713293895,,,,,,,10,0.001,,4,11.05913666
3430,53.09219,-2.07611,53.09219,-2.07611,,GBR,United Kingdom,GBR.1_1,England,GBR.1.92_1,Staffordshire,99.32452808018,0.0818553765533087,std_main,1213.4148331172165910,,24.54993699211,0.0437197198178765,bb_main,561.5300622780251177,,26.90248907594,0.508089279704012,std,52.9483501238445264,,,,,,,10,0.001,,5,1.29897009
3431,52.55282,-2.07517,52.55282,-2.07517,,GBR,United Kingdom,GBR.1_1,England,GBR.1.106_1,Walsall,157.68101894686,0.124371215851242,std_main,1267.8256610071192814,,35.72946009083,0.0749768054162204,bb,476.5401765583937205,,8.27428803103,0.805673182403989,pos_main,10.2700303444890148,,,,,,,10,0.001,,5,1.30320772
3432,53.09219,-2.07611,53.09219,-2.07611,,GBR,United Kingdom,GBR.1_1,England,GBR.1.92_1,Staffordshire,99.32452808018,0.0818553765533087,std_main,1213.4148331172165910,,24.54993699211,0.0437197198178765,bb_main,561.5300622780251177,,26.90248907594,0.508089279704012,std_main,52.9483501238445264,,,,,,,10,0.001,,5,1.29897009
3433,-36.57698203576289,149.312826,-36.57698203576289,149.312826,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.38_1,Cooma-Monaro,1317.62193724292,0.434252861681607,bb,3034.2274133566833437,,421.06893629795,0.388375517279705,bb,1084.1799175376429719,,49.13630606656,0.506948367107775,pos,96.9256619700558909,,,,,,,10,0.001,,6,0.08950233
3434,-40.36140003929555,148.0875,-40.36140003929555,148.0875,,AUS,Australia,AUS.9_1,Tasmania,AUS.9.11_1,Flinders,1415.97594959898,0.452528885674213,bb,3129.0288740117618255,,216.55264209035,0.121729871912563,std,1778.9605680838716005,,11.56264198171,0.0614960597622521,pos,188.0224851220053934,,,,,,,10,0.001,,4,8.49419682
3435,-8.901667,-37.823889,-8.901667,-37.823889,,BRA,Brazil,BRA.17_1,Pernambuco,BRA.17.76_1,Inajá,1425.17542075667,0.507567634741972,pos_main,2807.8532262624955436,,58.43784163056,0.152205718137354,pos_main,383.9398568312941102,,10.47227532782,0.327124510345676,std_main,32.0131173196219191,,,,,,,10,0.001,,6,0.15598013
3436,-24.133333,-54.5,-24.133333,-54.5,,PRY,Paraguay,PRY.8_1,Canindeyú,PRY.8.2_1,General Francisco C. Alvarez,409.09087085179,0.802978869953031,std,509.4665453347721767,,72.36431266718,0.700845100655385,bb_main,103.2529336361338277,,18.09134061622,0.292226773946357,pos_main,61.9085663230192632,,,,,,,10,0.001,,1,10164.66630845
3437,57.839,-6.915,57.839,-6.915,,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.13_1,Eilean Siar,245.59084281447,0.271093042384156,bb,905.9282401886664098,,27.18948221036,0.032848166720671,bb,827.7321057692376373,,9.15355611263,0.0137680857373481,std,664.8386919758596541,,,,,,,10,0.001,,3,126.22352668
3438,53.09162,-2.37475,53.09162,-2.37475,,GBR,United Kingdom,GBR.1_1,England,GBR.1.18_1,Cheshire East,95.37226945485,0.073625518961192,std_main,1295.3697413680806640,,28.74376252656,0.0517007745940787,bb,555.9638661555378097,,8.82432270251,0.19542519009811,bb_main,45.1544793078102881,,,,,,,10,0.001,,5,1.29897456
3439,-12.5,-41.45,-12.5,-41.45,,BRA,Brazil,BRA.5_1,Bahia,BRA.5.233_1,Lençóis,916.27494350405,0.328969408047195,pos,2785.2892125841630709,,30.58815898618,0.0447408963397508,std,683.6733612554703548,,15.26952661582,0.500053166847813,std_main,30.5358062465128888,,,,,,,10,0.001,,1,11115.92473293
3440,-0.39,100.330833,-0.39,100.330833,,IDN,Indonesia,IDN.30_1,Sumatera Barat,IDN.30.1_1,Agam,1446.95816531181,0.445354997644122,pos_main,3248.9995014450414781,,48.69842408004,0.164301625216361,std_main,296.3964843069042090,,23.58332762037,0.519515815487953,pos_main,45.3948213265066064,,,,,,,10,0.001,,2,1105.74329156
3441,51.44038,-0.55902,51.44038,-0.55902,,GBR,United Kingdom,GBR.1_1,England,GBR.1.113_1,Windsor and Maidenhead,308.59699017967,0.270790822686321,std_main,1139.6139171863403729,,142.12112231604,0.258627669349203,std,549.5201757556184217,,9.57755980092,0.743787053725579,bb,12.8767498075513029,,,,,,,10,0.001,,5,1.31196885
3442,-33.70032703202354,151.093975,-33.70032703202354,151.093975,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.66_1,Hornsby,1419.93257728252,0.469519418904513,bb,3024.2254529014362574,,136.66527350405,0.137827817356049,bb,991.5652451420904826,,12.58642838519,0.492595323747335,std_main,25.5512543022960317,,,,,,,10,0.001,,6,0.09270794
3443,-31.49629502871442,151.46422900000002,-31.49629502871442,151.46422900000002,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.137_1,Walcha,1463.21876617909,0.478861071156011,bb,3055.6227146357011858,,198.97286020083,0.197457772633146,bb,1007.6729700101441929,,42.79802460423,0.670644006834409,pos,63.8163081576562963,,,,,,,10,0.001,,14,0
3444,-33.74363503208522,151.03981,-33.74363503208522,151.03981,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.126_1,The Hills,1415.17071585088,0.467992346936711,bb,3023.9185001934674328,,136.63955932036,0.136602099875304,bb,1000.2742230543322139,,17.9146443516,0.763290294098536,std_main,23.4702897313238095,,,,,,,10,0.001,,5,0.92661393
3445,-33.413092031610766,151.286961,-33.413092031610766,151.286961,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.52_1,Gosford,1436.62352850199,0.474636792830689,bb,3026.7850074034568078,,131.90601879238,0.138637232675034,bb,951.4472861815412805,,7.59068688185,0.279815493471067,std,27.1274717053324252,,,,,,,10,0.001,,6,0.09301529
3446,-29.131707024896404,150.617785,-29.131707024896404,150.617785,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.61_1,Gwydir,1437.58743831933,0.461676670911744,bb,3113.8403321967834332,,413.65618569057,0.38058104235824,bb,1086.9069650116635312,,41.3394506656,0.44669811957839,bb_main,92.5444922504211197,,,,,,,10,0.001,,6,0.09731513
3447,-33.56327403182736,151.04308499999996,-33.56327403182736,151.04308499999996,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.66_1,Hornsby,1414.52552155748,0.467529669699876,bb,3025.5310266523073794,,122.86017054317,0.125133250821799,bb,981.8347220766599384,,3.14903197868,0.14347872460277,pos_main,21.9477277024750246,,,,,,,10,0.001,,14,0
3448,-33.303546031451724,150.845457,-33.303546031451724,150.845457,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.63_1,Hawkesbury,1395.24701730143,0.460732686524993,bb,3028.3221879152330200,,90.57364278882,0.093718655682393,bb,966.4419760326987263,,4.40931347066,0.0915544667360343,pos_main,48.1605499748333775,,,,,,,10,0.001,,6,0.0931319
3449,-33.55121603181003,146.800856,-33.55121603181003,146.800856,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.77_1,Lachlan,1021.51095781623,0.336923281917242,bb,3031.8799935800884324,,86.22689592961,0.0628818996845783,pos_main,1371.2514469526598675,,72.19033759412,0.585311560450849,std,123.3365996368050844,,,,,,,10,0.001,,6,0.09286778
3450,-33.55121603181003,146.800856,-33.55121603181003,146.800856,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.77_1,Lachlan,1021.51095781623,0.336923281917242,bb,3031.8799935800884324,,86.22689592961,0.0628818996845783,pos_main,1371.2514469526598675,,72.19033759412,0.585311560450849,std_main,123.3365996368050844,,,,,,,10,0.001,,6,0.09286778
3451,-33.65095903195304,151.068001,-33.65095903195304,151.068001,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.66_1,Hornsby,1417.260510313,0.468563122449055,bb,3024.6949501816440628,,131.12453108638,0.132598002576495,bb,988.8876795918176592,,7.36358532206,0.292381520914325,std_main,25.1848519668167134,,,,,,,10,0.001,,6,0.09276093
3452,-32.83505103076196,151.46032399999999,-32.83505103076196,151.46032399999999,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.32_1,Cessnock,1452.583929442,0.478837087336211,bb,3033.5660454430960280,,131.63930646832,0.142995573280317,bb,920.5830883328458737,,16.29245633367,0.332715877565015,pos,48.9680758637265231,,,,,,,10,0.001,,14,0
3453,-33.641852031940026,151.045133,-33.641852031940026,151.045133,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.66_1,Hornsby,1415.09429593748,0.467830172542999,bb,3024.8033987320825885,,128.89423912319,0.130209331561484,bb,989.9001675031791258,,6.82901026296,0.28737485422937,pos_main,23.7634231473481101,,,,,,,10,0.001,,6,0.0927707
3462,-34.25178403279797,150.924566,-34.25178403279797,150.924566,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.149_1,Wollongong,1408.76544124596,0.466400129966373,bb,3020.5082518899182789,,177.09707769165,0.169448308813282,bb,1045.1392458970854039,,12.137824155,0.395420425253889,bb,30.6959969182336093,,,,,,,10,0.001,,6,0.09211132
3463,-34.25178403279797,150.924566,-34.25178403279797,150.924566,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.149_1,Wollongong,1408.76544124596,0.466400129966373,bb,3020.5082518899182789,,177.09707769165,0.169448308813282,bb,1045.1392458970854039,,12.137824155,0.395420425253889,bb,30.6959969182336093,,,,,,,10,0.001,,6,0.09211132
